Titulo;Autores;Ano_Publicacao;Revista;Pais;DOI;Tipo_Investigacao;Dimensao_Temporal;Comparacao_Sujeitos;Amostra_Info;Marcadores_Amostra;Processos_Matematicos;Comparacao_Tarefa;Variaveis_Fisiologicas;Variaveis_Psicologicas;Variaveis_Comportamentais;Posicao_Eletrodos;Equipamento;Tecnologia_Eletrodos;Pre_Processamento;Faixas_Frequencia;Software_Analise;Abordagem_Estatistica;Classificacao_ML;Acesso_Dados;Revisor;Notas;Recomendacao
Transition dynamics of EEG-based network microstates during mental arithmetic and resting wakefulness reflects task-related modulations and developmental changes;S. I. Dimitriadis • N. A. Laskaris • S. Micheloyannis;2015;Springer Nature Link;Grécia;DOI 10.1007/s11571-015-9330-8;Observacional / Não-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects), Entre-sujeitos (Between-subjects), Misto (Mixed Design);20 children(8-12 years) and 25 students(21-26 years);estudantes;Arithmetic comparisons, 2 digits for children, 3 digits for adults;estado de repouso;ECG;WISC-III test, Illinois test of psycholinguistic abilities. ZAREKI test, child behavior checklist;"Performance on arithmetic problems: This variable was indeed measured. The study included an ""arithmetic comparison task"" , and the article notes that ""The performance of subjects, in the comparison task was very high (100%)"".";international 10/20 system (FP2,F4, FC4, C4, CP4, P4, O2, F8, FT8, T4, TP8, PO8, Fz,FCz, Cz, CPz, Pz, Oz, FP1, F3, FC3, C3, CP3, P3, O1, F7,FT7, T3, TP7, PO7, and the A1 + A2 as reference.);CONTACT Precision Instruments amplifiers and DATAQ AD Converter 30 electrodes 10/20 system;EEG 30 electrodes , 10/20 system;The researchers preprocessed the EEG data by filtering it into various frequency bands. They then used the Phase Lag Index (PLI) to create functional connectivity graphs. Finally, they analyzed network properties like local and global efficiency to compare a resting state with a mental arithmetic task, using both static and dynamic approaches.;EEG bands: Delta(1-4Hz), Theta(4-8Hz), alfa1(8-10Hz), alfa2(10-13Hz),Beta1(13-20Hz),Beta20-30Hz) e gama(30-45Hz).;MATLAB for down-sample(frequency reduction for aduls and to implement MDS;Wilcoxon rank-sum test (WRS-test) to assess differences between groups,Repeated-measures ANOVA was also employed to investigate developmental factors.False Discovery Rate (FDR) method. A difference was considered statistically significant when the p-value was extremely low, such as p < 0.001 or p < 0.0001, after correction.;Multi-Dimensional Scaling (MDS), Markov Chain;1;João;;
The neural differences of arithmetic verification performance depend on math skill: Evidence from event-related potential;Shiva Taghizadeh1 | Touraj Hashemi2 | Ali Jahan3 | Mohammad Ali Nazari1;2021;WILEY;Iran;DOI: 10.1002/npr2.12158;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);36 adults right-randed, 19 W 17 M ~23,5 Y;habilidade matemática;Mental arithmetic verification task.;-;-;-;The behavioral variables collected in the study to assess participant performance were Reaction Time (RT) and Accuracy (ACC). Reaction Time measured the time that each volunteer took to judge if the equation was correct or incorrect . Accuracy was the percentage of correct answers for each participant, calculated by the formula: (correct answers / total answers) x100;10-10 system, linked mastoids as reference;EEG WaveGuard (ANT Company) with 64 Ag/AgCl electrodes, 64 channels amplifier, Stimulus system eevoke;EG 64 Ag/AgCl electrodes, 10-10 system, stimulus system eevoke;After pre-processing, the main signal analysis was the extraction of Event-Related Potentials (ERPs). This was done by segmenting the data into epochs (from -200 ms to 1000 ms relative to the stimulus) and then averaging the trials for each condition and participant, which generated an average waveform. The final analysis consisted of measuring the peak amplitude of the negativity in the 200-400 ms time window..;------------;EEGLAB functions toolbox.;ANOVA to compare the values between the groups and conditions.;-;1;João;Inicialmente, 47 estudantes participaram da pesquisa, mas os dados de 11 deles foram excluídos da análise final devido a um excesso de artefatos (ruídos) nos registros de EEG.;
More Problems After Difficult Problems? Behavioral and Electrophysiological Evidence for Sequential Difficulty Effects in Mental Arithmetic;Jochen Andreas Mosbacher, Clemens Brunner ,Roland Hugo Grabner;2020;Journal of Numerical Cognition;Austria;10.5964/jnc.v6i1.223;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);65 adult student volunteers with a mean age of 25.98 years, 64.6% of whom were female. Participants were required to be right-handed and have no history of neurological or psychiatric diseases. All volunteers reported having no reading or mathematical disabilities , gave written informed consent, and received compensation for their time.;Adult students;Mental arithmetic, working through two separate blocks of problems: one with additions and one with subtractions. Each block contained two types of problems(easy n hard).;Resting phase;-;NEO-Five-Factor-Inventory (NEO-FFI) and Dweck's mindset assessment;Accuracy was measured as the percentage of problems that participants solved correctly and within the maximum time allowed.Calculation time corresponds to the average time a participant took from the presentation of the problem on the screen until they pressed a button.;The electrodes mentioned (like F3, P3, Fp1, AF3, Fz, C4, Pz, etc.) all have names that belong to the 10/20 system.;EEG BioSemi Active Two 64 channels;EEG 64 Channels / Signagel;ERS/ERD=((A−R)/R)∗100 ( Rest phase ( R) Active phase (A) for each signal);Theta (3-6 Hz) inferior alpha (8-10 Hz) superior alpha (10-13 Hz) Beta (13-30 Hz);MNE-Python // SPSS 25;ANOVA;-;2;João;Por mais que não seja dito, a Figura 2, que mostra o mapa do escalpo com todos os eletrodos, exibe a disposição exata do Sistema 10-20. // fase de repouso foi definida como o intervalo de 1000 ms antes da apresentação do problema (durante a cruz de fixação).A fase ativa foi o período entre o início do problema e o momento em que o participante pressionava o botão, ou seja, o tempo de cálculo. Link dos dados no proprio apendice do texto;
A Machine Learning Approach in EEG-BasedAssessment of Cognitive Load by Mental Arithmetic Tasks;Phuc Khang Nguyen, Quang Linh Huynh;2025;IOPScience;Vietnam;doi:10.1088/1742-6596/2949/1/012004;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);The study utilized an EEG dataset obtained from 36 healthy volunteers. The participants were between 18 and 26 years old, with a mean age of 18.6 years. All participants were right-handed and had normal or corrected-to-normal vision.The volunteers were students from the University of Kyiv, Ukraine.;-;Mental arithmetic,a serial subtraction task done mentally;Resting period;EOG (eye movements), EMG (muscle activity), ECG (cardiac pulsations);-;"A quantitative measure called the ""Number of Subtractions, a second categorical variable, ""Count Quality,"" was determined, which classified the subjects as ""good"" (G) or ""bad"" (B) counters.";23-channel system following the international 10/20 system. frontal (Fp1, Fp2, F3, F4), central (C3, Cz, C4), parietal (P3, Pz, P4), occipital (01, 02), and temporal (T3, T4).;Neurocom EEG 23 channels.;EEG 23 Channels;RMS Energy, Kurtosis,Band Power,Entropy high pass (0.5 hz) , artifact remove;Delta: 0.5–4 Hz Theta: 4–8 Hz Alfa: 8–13 Hz Beta: 13–30 Hz Gama: >30 Hz;It doesnt specifies;Linear Discriminant Analysis (LDA),k-Nearest Neighbors (KNN),Support Vector Machine (SVM);Linear Discriminant Analysis (LDA),k-Nearest Neighbors (KNN),Support Vector Machine (SVM);3;João;Eles utilizaram um conjunto de dados que foi originalmente coletado e publicado em 2019 por outro grupo de pesquisadores (Zyma, Tukaev, et al.).;
Analysis of long range dependence in the EEG signals of Alzheimer patients;T. Nimmy John,Subha D. Puthankattil,Ramshekhar Menon;2018;Cognitive Neurodynamics;Índia (IN);https://doi.org/10.1007/s11571-017-9467-8;Observacional / Não-experimental;Transversal (Cross-sectional);Misto (Mixed Design);The study was conducted with a control group of 27 healthy volunteers (15 men and 12 women) and a group of 13 patients with mild cognitive impairment (six men and seven women). All participants were between 50 and 80 years old. CSR <= 1;Mild Cognitive Impairment-Alzheimer's Disease (MCI-AD) patients (CDR $\le 1$) and healthy controls.;Mental arithmetic eyes open and closed;Resting conditions (Eyes Open - EO and Eyes Closed - EC);-;Mini-Mental State Examination (MMSE) Rey Auditory Verbal Learning Test (RAVLT) Addenbrooke's Cognitive Examination (ACE) Clinical Dementia Rating (CDR);Clinical Dementia Rating (CDR) scale. To determine the level of cognitive impairment, the 30-point Mini-Mental State Examination (MMSE) was administered.The 100-point Addenbrooke's Cognitive Examination (ACE), where a lower score indicates disease progression.;International 10-20 electrode placement system.Local Anterior Region (Frontal): Calculated using electrode pairs Fp1-F3, Fp1-F7, Fp2-F4, and Fp2-F8./ Local Posterior Region: Calculated using electrode pairs P3-O1, P4-O2, T5-O1, and T6-O2. /Distant Regions: Determined by analyzing the connections between 12 different electrode pairs, such as Fp1-P3, Fp2-P4, F3-T5, and F4-T6.;NicVue, Nicolet-Viking, EUA (32 caais;EEG 32 Channels(23 electrodelocations: Fp1, Fp2, F3, F4, C3, C4, P3, P4, O1,O2,T1, T2, F7, F8, T3, T4, T5, T6, Fz, Cz, Pz, A1 and A2.);Hurst Exponent (HE): This was the primary feature analyzed in the study. The HE is a nonlinear parameter used to measure the long-range dependence, self-similarity, and smoothness of a time series. It was calculated using the rescaled range (R/S) method. Auto Mutual Information: This feature was calculated to measure the complexity of the EEG signal.Cross Mutual Information(CMI): CMI was used to assess the dynamic coupling and information transmission between two different systems. This was applied to measure connectivity between different brain regions and to analyze the relationship between HE and neuropsychological scores.;Gamma: 25-50 Hz Beta: 12.5-25 Hz Alpha: 6.25-12.5 Hz Theta: 3.125-6.25 Hz Delta: 0-3.125 Hz;MATLAB;ANOVA ,Correlation Coefficients: To analyze the statistical relationships between the extracted features and behavioral variables, the study used:Pearson's Correlation Coefficient to measure linear relationships.;-;1;João;meio estranho de achar o equipamento, Nicolet tem varios modelos.(https://www.neuroswiss.ch/view/data/5962/Nicolet-Viking-EDX.pdf);
SOME CHANGES OF MATH ANXIETY GROUPS BASED ON TWO MEASUREMENTS, MASS & EEG;Byeongguk Ryoo and Sang Sook Choi-Koh;2018;"Proceedings of the 42nd Conference of the International Group for the Psychology of Mathematics Education""";Korea/(Published on PME 42 - Suécia(Sweden));doesnt have;Quase-experimental;Longitudinal;Misto (Mixed Design);25 students in the 8th grade from middle school in Yongin-city, participated.The students had never participated in a program for the purpose of reducing MA.;Mathematics Anxiety (MA) level and Math Achievement level;Mental artihmetic/Conceptual reasoning.;-;-;MASS (Mathematics Anxiety Scale for Students);PCA(Percent of Correct Answers) and RT(Reaction Time).;it doesnt specify;EEG but the model and electrode position isnt specified;it doesnt especify;ERP (Event Related Potentials);not frequencies but this study focused on the p300 wave;E-prime Program;t-test, Conbrach's alpha( for MASS confiability);;1;João;dentro dos anais , possuem varios casos, mas esse aborda o uso de EEG, por isso que o utilizei (Página 94 do documento).;
EEG alpha and theta time-frequency structure during a written mathematical task;Giovanna M. Bonança, Günther J.L. Gerhardt, André L. Molan, Luiz M.A. Oliveira, Gustavo M. Jarola, Suzana V. Schönwald e José L. Rybarczyk-Filho;2024;Medical & Biological Engineering & Computing.;Brasil;https://doi.org/10.1007/s11517-024-03028-9;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);The study sample consisted of sixty healthy volunteers with a mean age of 21.9 years and a standard deviation 29 males,and the sample demonstrated good overall performance on the math task, achieving a median score of 7.;-;"The mathematical process was not purely mental arithmetic; it was a written multiplication task.";Resting baseline;-;-;The score for each math problem ranged from 0 to 10, as each correctly solved line (4 multiplications plus 1 sum) was worth 2 points.A final average score from 0 to 10 was ascribed to each subject.There was overall good performance from the sample, with a median score of 7.;"Electrodes aligned with the 10-10 International System. (AF3, AF4), anterior temporal (F7, F8), frontal (F3, F4),(FC5, FC6), (T7, T8), (P7, P8), (01, 02) sites. The authors note an exception for the T7 and T8 electrodes, which are placed more posteriorly on the 10-10 system for this specific device. The mastoid electrodes M1 and M2 were used for reference; M1 functioned as the main reference point, while M2 served as a feed-forward reference to reduce external electrical interference.";Emotiv EPOC+ mobile EEG device;EEG 16 channels(2 for reference).;"Spectral Power analysis was conducted to provide a general overview of the EEG signal's main characteristics for PSD. Matching Pursuit (MP) based signal analysis technique, which is a algorithm that decomposes the EEG signal into a series of elements called ""atoms"". Each atom represents a structure in the time-frequency plane, defined by its frequency, length, and intensity using Gabor functions for decomposition. For PSD mean power in bands theta (4 Hz a 7,5 Hz) alfa (7,5 Hz a 13 Hz). For MP , Number of Atoms per seconds for each band. Atom Lenght: Duration of each atom had a mean of 3 seconds. Atom Frequency and peak amplitude.";(Theta): Definida no intervalo de 4 Hz a 7,5 Hz. (Alpha): Definida no intervalo de 7,5 Hz a 13 Hz.;R,TISEAN 3.0.1,Custom Matching Pursuit,Emotiv EPOC+ SDK;To make comparisons between the left and right hemispheres and between the Rest and Math conditions, two-tailed Wilcoxon rank-sum tests were implemented. To correct for multiple comparisons, the study applied a False Discovery Rate (FDR) correction, and FDR-corrected p-values (q-values) of less than 0.05 were considered significant.;-;1;João;*The authors acknowledge that the fact it was a written task, involving hand movement, could have confounded the EEG results.*;⭐
Mental Arithmtic and eye opening. An EEG frequency analysis and GSR study;J. VOLAVKA, M. MATOU~EK AND J. ROUB~(~EK;1967;Electroeneephalography and Clinical Neurophysiology;Czechoslovakia;10.1016/0013-4694(67)90158-7.;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"12 healthy, paid volunteers (eleven men and a woman) between 19 and 31 years of age; mean age 25.8 years.";-;mental arithmetic (serial subtraction);Resting (Eyes Closed - C) and Eyes Opened Resting (O) conditions;GSR/EDA (Galvanic Skin Response);-;"Behavioral: Rest with eyes open and closed; mental arithmetic with and without financial reward. Outcomes: number and variability of pulses of the integrators in the different EEG frequency bands";right parieto-temporal P4-T6;Kaiser Co.;16 ch equip, 2 electrodes analyzed in a bipolar montage;"Pre-Fast Fourier frequency analysis: number of pulses of the integrators during the 9 epochs (45 sec of artifact-free recordings from each condition; divided into 9 epochs of 5 sec each)";delta (1.5-3.5 c/sec), theta (3.5 -7.5c/see), alpha 1 (7.5-9.5 c/see), alpha 2 (9.5-12.5 c/sec), beta I (12.5-17.5 c/sec), beta 2 (17.5-25 c/sec).;"custom; none; heroic era";multiple t test comparisons;None (no machine learning used).;1;Suzana;;
Relationship between Regional Hemodynamic Activity and Simultaneously Recorded EEG-Theta Associated with Mental Arithmetic-Induced Workload;Gebhard Sammer,1* Carlo Blecker,1 Helge Gebhardt,1 Matthias Bischoff,1 Rudolf Stark,1 Katrin Morgen,2 and Dieter Vaitl1;2007;Human Brain Mapping;Germany;10.1002/hbm.20309;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);20 paid, healthy right-handed University students (10 female, 10 male) Mean age was 25.4 (range 20.3–39.6 years);-;mental arithmetic (serial additions);Reference trials (presentation of 10 zeros);EOG, ECG, HRV;-;"Rest vs task; outcomes: PSD in different scalp EEG locations";[fronto-central, centro-parietal and temporo-parietal positions]).;BrainAmp-MR (BrainProducts, Munich, Germany).;"29 electrodes (10–20 system, plus FC1, FC2, CP1, CP2, FC5, FC6, CP5, CP6, TP9, TP10; An electrode located between Fz and Cz was used as the reference";FFT Power Spectral Density averaged for an epoch of 2,000 ms, starting 200 ms prior to the marker-onset and covering the time for the measurement of one entire fMRI volume, which consisted of 20 slices.;theta between 3.5 and 7.5 Hz, lower alpha between 8.0–10.5 Hz;"Custom; BrainVision software (BrainProducts) for fMRI artifact removal;";"Repeated measurement analysis of variance (level of factors in parentheses): mental arithmetic (2), electrode positions (3), and anterior-posterior electrodes (2); (Principal component analysis (PCA) for EEG correlated fMRI, not relevant here)";None (no machine learning used).;1;Suzana;;
The Study of Mental Arithmetic Load by EEG Data;Xia Wang, Zhihua Chen, Li Zhao, Safeng Zou;2010;IEEE Xplore Conference Proceedings;China;10.1109/ICMULT.2010.5629620;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);22 right-handed healthy university males (1 excluded), average age is about 22.6;;Mental arithmetic (addition);Compared to a relaxed, still, and eyes-closed state recorded for 120s before and after the trials;EOG (implied by electrode Z for eye movement correction);;Performance accuracy;"Frontal, Central, Parietal, Temporal regions; using 16 electrodes (FP1, FP2, F3, F4, F7, F8, C3, C4, T3, T4, P3, P4, T5, T6, O1, O2) based on the extended 10-20 system";NeurofaxEEG-9100K (EEG equipment);16 electrodes (plus Z for EOG correction, A1 and A2 as references) using the extended 10-20 system;"Band-pass filtered between 4.0HZ to 7.0HZ; Use of Z electrode to remove eye movement effect; A1 and A2 used as reference electrodes";4.0HZ to 7.0HZ;;Factor analysis;;1;Suzana;O inglês deles é incompreensível. Acho que eu teria mais chance de entender se estivesse escrito em mandarim. Já conheço 850 ideogramas!;
Localization of neural efficiency of the mathematically gifted brain through a feature subset selection method;Li Zhang1 • John Q. Gan1,2 • Haixian Wang1;2015;Cogn Neurodyn;China and UK;10.1007/s11571-015-9345-1;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);"2 groups, all right handed subjects: math-gifted group, 8 adolescents (five males and three females) aged 16.5 ± 0.7; control group, 7 students (five males and two females) aged 16.3 ± 0.8; Raven Advanced Progressive Matrices (RAPM) scores respectively above and below 32";Mathematical Giftedness / Level of Mathematical Ability;mental arithmetic, addition and subtraction of single digits with key-pressing responses;Pre-stimulus interval baseline;EOG;RAPM (Raven Advanced Progressive Matrices) test;RAPM score, response accuracy, response time, Mean value of global GBRs;all 60-ch 10-10 IS brain regions;Neuroscan;"60-channel 10-10 IS; 4 EOGs";"(ERS/ERD); time window 500 ms pre-stimulus and 4000 ms post-stimulus periods; cortical current estimation procedure performed to obtain the locations corresponding to the underlying event-related source processes.";gamma 35–45 Hz;"EEGLAB; Brainstorm toolbox";between-groups difference in the RAPM score tested by the one-way analysis of variance (ANOVA). three-way ANOVA for testing response accuracy, response time and average global GBRs with group (gifted vs. non-gifted) serving as the between-subject factor and task complexity (low vs. high) and task period (early vs. late) serving as the within-subject factors;a feature subset selection method based on the sequential forward floating search (SFFS) algorithm iteratively promoting the accuracy in single-trial classification of mental states, the method can obtain a set of brain locations that optimally discriminates neural responses under different cognitive conditions. SFFS algorithm (Pudil et al. 1994);1;Suzana;these Authors make the interesting and unreferenced statement that correlation of neural efficiency can be found only when the processing time of a task is unrestricted;
The Role of Mathematical and Trait Anxiety in Mental Fatigue: an EEG Investigation;Ekaterina S. Zhban*a , Maxim V. Likhanovb , Ilya M. Zakharovc Elizaveta, M. Bezrukovaa, Sergey B. Malykhc;2018;Psychology in Russia: State of the Art;Russia;10.11621/pir.2018.0406;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"101 participants with mean age of 21.62 (SD=4.28; 33 males, 68 females) (nested on an ongoing twin study)";Mathematics Anxiety (MA) and Trait Anxiety (TA) levels;arithmetic and algebra;Resting state;EOG (Vertical EOG/VEOG);STAI (Spielberger Trait Anxiety Questionnaire) and sMARS (Shortened Math Anxiety Rating Scale);"Math anxiety by Shortened Math Anxiety Rating Scale (sMARS), 21-item Russian adaptation; Trait anxiety by a Russian adaptation of the Spielberger Trait Anxiety Questionnaire; The studied factor was a mixed-type cognitive task consisting of math problems and subjective ratings about anxiety. The outcome was the EEG change";Frontais e linha média anterior;"Hardware not mentioned. EEG acquisition software: BrainVision PyCorder software (Brain Products); 64 electrodes; extended 10–20 system;";Fz, F3, F4, F7, F8, Cz and Pz.;PSD (Power Spectral Density) FFT averaged for 150 2s windows;"alpha (8-12 Hz), beta (12-30 Hz), and theta (4-7 Hz); ratios (quocients): 1. relative alpha spectral power = alpha spectral power /(alpha spectral power plus theta spectral power + beta spectral power); 2. relative theta spectral power = theta spectral power /(alpha spectral power plus theta spectral power + beta spectral power); 3. relative beta spectral power = beta spectral power /(alpha spectral power plus theta spectral power + beta spectral power). Additionally, two composite measures for fatigue: Task Load Index (TLI), ratio of theta activity at frontal midline sites, to alpha at parietal sites (here theta at Fz to alpha at Pz); expected to increase with the development of mental fatigue. Second, Relative Energy Index (REI), calculated as ratio of (alpha + theta) to beta activity.";"EEG: BrainVision Analyzer 2;";"Descriptive statistics and Wilcoxon Signed Rank Tests for absolute and relative activity and quocients; rho correlations for EEGfrequency bands and electrodes vs subjective anxiety ratings";None (no machine learning used).;1;Suzana;;
Desynchronization of Theta-Phase Gamma-Amplitude Coupling during a Mental Arithmetic Task in Children with Attention Deficit/Hyperactivity Disorder;Jun Won Kim1, Bung-Nyun Kim2, Jaewon Lee3, Chul Na4, Baik Seok Kee4, Kyung Joon Min4, Doug Hyun Han4 , Johanna Inhyang Kim2 , Young Sik Lee4;2016;PLOS ONE;Korea;10.1371/journal.pone.0145288;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);97 volunteers (including 53 subjects with ADHD) from a camp for hyperactive children, DISC-IV criteria;Attention Deficit/Hyperactivity Disorder (ADHD) in children;arithmetic (serial subtractions);Eyes-closed resting state;EOG;IVA CPT (Intermediate Visual and Auditory Continuous Performance Test), DISC-IV (Korean version of the Diagnostic Interview Schedule for Children Version IV), k-WISC-IV (Korean-Wechsler Intelligence Scale for Children, Fourth Edition);"Behavioral TDAH severity: Intermediate Visual and Auditory (IVA) continuous performance test (CPT) scores; Studied factor: rest vs math task; Outcome: EEG variables (PSD, TGC)";21 IS scalp electrodes not specifically mentioned and analysed as a whole;"EEG: SynAmps2 direct-current (DC) amplifier; headcap: 10–20 layout 64-channel Quick-Cap electrode placement system (Neuroscan Inc., NC, USA); linked mastoid reference and two additional bipolar EOG electrodes";19 electrodes (10–20 IS);"PSD: (Power Spectral Density) FFT (“spectrogram.m” function) on Time windows of 1000-ms with an 800-ms overlap and the Hamming window. more than two minutes of artifact-free EEG readings from the three-minute recordings. TGC: a phase coherence measurement; synchronization index (SI) proposed by Cohen [29] to assess the cross-frequency interactions between the low-frequency (4–8 Hz) phase and the power of the gamma (39–41 Hz) oscillations. gamma power time series was extracted as the squared magnitude of z(t), which is the analytic signal obtained from the Hilbert transform (power time series: p(t) = real[z(t)]2 + imag[z(t)]2 ). The phases of the two time series were extracted from the Hilbert transform (phase 1⁄4 arctan imag1⁄2zðtÞ real1⁄2zðtÞ ).";delta (1–4 Hz), theta (4–8 Hz), slow alpha (8–10 Hz), fast alpha (10–13.5 Hz), and beta (13.5–30 Hz).;Matlab 7.0.1, EEGLAB toolbox, SPSS 18.0;"The paired t-test, Bonferroni correction, (ANCOVA) to compare the two conditions in each frequency band and TGC between groups; Pearson’s partial correlation analysis that controlled for sex and age to assess the relationship between the measures of IVA CPT and the EEG recordings";None (no machine learning used).;1;Suzana;;
Investigation of the neural correlation with task performance and its effect on cognitive load level classification;Farzana KhanamID1,2*, Mohiuddin AhmadID3☯, A. B. M. Aowlad Hossain4☯;2023;PLOS ONE;Bangladesh;10.1371/journal.pone.0291576;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);"36 participants, 27 women and 9 men, after 30 recordings excluded ""due to artifacts"", from a original sample of 66 (sixty-six) healthy right-handed students participated in the experiment following prior specified instructions. Among the participants, 47 were women and 19 were men, and the age ranges were from 18 to 26 years (18.25 ±2.17). ‘PhysioNet’ through the ‘PhysioBank’ platform";-;mental arithmetic (serial subtractions);Resting state;ECG;-;"1) Individual task performance: number of arithmetic subtraction operations per minute. 2) Group performance: Good and BAD groups, BAD of 10 participants, (mean no. of operations = 6.2 ± 3.37), the task was found difficult; GOOD 26 participants, (mean no. of operations = 21.99 ± 7.46), task managed without difficulty. 3) Quality of task performance: estimated based on the comparative correct results for each participant; if the participants’ reported result was around 20% of the correct value, then it is considered a successful engagement of that participant.";All: anterior frontal, frontal, central, parietal, occipital and temporal;Neurocom monopolar EEG 23-channel system (XAI-MEDICA, Ukraine);19 electrodes (10–20 IS) i) anterior frontal (Fp1, Fp2), ii) frontal (F3, F4, Fz, F7, F8), iii) central (C3, C4, Cz), iv) parietal (P3, P4, Pz), v) occipital (O1, O2), and vi) temporal (T3, T4, T5, T6);EMD (empirical mode decomposition) extracted signal features. EMD generates a highly localized time-frequency estimation of a signal in the modulated oscillatory pattern by decomposing it into a finite sum of intrinsic mode functions (IMF) combined with the Hilbert–Huang transforms (HHT). It is data-adaptive and does not require any hand-crafted functions as well as it extracts the maximum characteristics of EEG over different frequency sub-bands. EEG sample: first 3 minutes of experimental or resting adaption) and the first minute (out of 4 minutes) of the mental arithmetic task.;not reported;MATLAB, fit classification error-correcting output code (‘fitcecoc’);Descriptive analysis of the machine-learning group classification performance;Support vector machine (SVM) model in a subject-independent approach. For classification purposes, several classifiers are initially deployed such as k-Nearest Neighbor, Naive Bayes, Decision Tree, SVM, and Linear Discriminant Analysis. However, SVM is used for the rest analysis of this work, as initially, SVM showed the highest performance. Trained the model with the first 20 subjects’ data, and the rest 16 data were reserved for testing.;3, already pre-processed, ‘PhysioNet’ available through the ‘PhysioBank’ platform;Suzana;;
The Impact of Math Anxiety on Working Memory: A Cortical Activations and Cortical Functional Connectivity EEG Study;MANOUSOS A. KLADOS 1,2, (Member, IEEE), EVANGELOS PARASKEVOPOULOS2, NIKI PANDRIA2, , AND PANAGIOTIS D. BAMIDIS 2 , (Member, IEEE);2019;IEEE Access;Greece and UK;10.1109/ACCESS.2019.2892808;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);"(2) groups of 16 students of the Aristotle University of Thessaloniki, namely LMA (Low Math Anxiety), and HMA (High Math Anxiety) according to their AMAS scores; mean ages were 22.5 ± 2.3 (LMA) and 22.21 ± 2.43 (HMA)";High-Math Anxious (HMA) and Low-Math Anxious (LMA) groups based on AMAS scores;visual digit comparison;-;EOG;AMAS, STAI I, STAI II;"Performance: 1) correctness of the given answers by means of the d’prime index; 2) reaction time, extracted by the stimuli presentation software. Other anxiety measures: STAI I (State Anxiety) and II (Trait Anxiety) tests. Math task: n-back task in 3 levels: 1) in the 1-Back Test, to press the right mouse-button, if the presented number was the same as the one shown previously, or the left one otherwise; 2) (and 3): to press the button presented number was the same with the number appeared two (three) positions before. EEG outcome variables:";All: anterior frontal, frontal, central, parietal, occipital and temporal;not reported;57 scalp electrodes 10-10 IS;Magnitude square coherence, current density reconstructions. Cortical activity: 0,5-45 Hz sLORETA (Low Resolution Electromagnetic Tomography) Current density reconstructions (CDRs) (performed with a Boundary Element Model method (BEM) using a Brainstorm generic, 4-compartment head model) on 3 fixed time windows (centered at 200, 300 and 400ms). Functional connectivity: Magnitude Square Coherence (MSC): square of the cross Power Spectrum Density (PSD) calculated within each pair of vertices. PSD estimated using the Welch method for Discrete Fourier Transform.;6 frequency bands: delta (0.5-4Hz), theta (4-8Hz), alpha1 (8-10Hz), alpha2 (10-12Hz), beta (12-30Hz), gamma (30-45Hz)];"EEGLAB, Brainstorm toolbox, MATLAB Brain Connectivity Toolbox (MSC function, etc.); stats: Statistical Parametric Mapping 8 (SPM8) and GLM-Flex for CDRs reconstructions; MRIcron for visualization of statistical parametric maps";"A 2 × 3 mixed model ANOVA with the group category (LMA and HMA) as the between subject factor and the BT tasks (BT1; BT2 and BT3) as the within subject factor. FDR correction emplyoed.";None (no machine learning used).;1;Suzana;;
